Feature,Legacy Location/Ref,Modern Module,Parity (Yes/Partial/No),Notes / Gaps,Suggested Fix/Owner/Size(S/M/L)
Open browser toggle,legacy/compv4_improved.py:L87-L88,frame_compare.py,Yes,"open_in_browser toggles webbrowser.open.",Maintain
Create URL shortcut,legacy/compv4_improved.py:L89-L90,src/slowpics.py,Yes,"create_url_shortcut writes .url file.",Maintain
Delete screenshots after upload,legacy/compv4_improved.py:L91-L92,frame_compare.py,Yes,"delete_screen_dir_after_upload removes directory on success.",Maintain
Trim start overrides,legacy/compv4_improved.py:L94-L112,frame_compare.py / src/vs_core.py,No,"OverridesConfig.trim validated but never applied to clips.",Core team: map overrides to init_clip arguments (M)
Trim end overrides,legacy/compv4_improved.py:L94-L112,frame_compare.py / src/vs_core.py,No,"trim_end entries unused; no support for end-frame adjustments.",Core team: translate trim_end to Clip Trim last args (M)
Change FPS overrides,legacy/compv4_improved.py:L114-L134,frame_compare.py / src/vs_core.py,No,"change_fps map ignored; clips opened without fps adjustments or follow-the-set behaviour.",Core team: compute per-clip fps_map and apply (M)
Analyze clip selection override,legacy/compv4_improved.py:L136-L140,frame_compare.py,Yes,"analyze_clip hint passed into _pick_analyze_file.",Maintain
Random seed stability,legacy/compv4_improved.py:L144-L145,src/analysis.py,Yes,"random_seed seeds RNG for deterministic selection.",Maintain
Frame data filename,legacy/compv4_improved.py:L146-L149,src/datatypes.py / src/analysis.py,No,"frame_data_filename required by validation but never read or written.",Core team: use path when persisting metrics (M)
Screenshot directory name,legacy/compv4_improved.py:L148-L149,frame_compare.py / src/screenshot.py,Yes,"directory_name controls output path identical to screen_dirname.",Maintain
Minimum frame separation,legacy/compv4_improved.py:L150-L151,src/analysis.py,Yes,"screen_separation_sec enforces spacing via dedupe.",Maintain
Motion diff radius,legacy/compv4_improved.py:L152-L154,src/analysis.py,Yes,"motion_diff_radius used in smoothing window.",Maintain
Tonemap parameter presets,legacy/compv4_improved.py:L187-L199,src/vs_core.py,Partial,"Modern code hardcodes bt2390 defaults with no config hook for TM presets or overlay flags.",Config: expose tonemap settings in AnalysisConfig or dedicated struct (M)
